art;rest
941777;109
941445;1049
941444;511
941802;207
941815;267
941786;0
941787;0
941785;108
941911;0
941784;0
941816;38
941818;88
941817;43
941821;0
941820;0
941819;40
941780;0
941778;26
941783;0
941781;0
941779;0
941798;60
941797;125
941801;19
941799;58
941800;6
941803;2
941807;0
941806;5
941804;0
941790;0
941789;28
941791;0
941794;95
941792;11
941793;73
941795;85
941767;0
941766;0
941769;0
941765;0
941768;0
941744;0
941745;61
941747;0
941741;0
941746;0
941742;0
941748;0
941754;0
941751;0
941755;0
941750;0
941736;0
941738;17
941735;16
941737;0
941740;0
941739;0
941727;42
941732;132
941731;68
941734;1
941729;0
941733;0
941728;40
941726;0
941719;91
941725;64
941710;0
941711;0
941721;0
941712;45
941720;107
941713;95
941722;57
941716;0
941714;0
941724;0
941717;0
941648;0
941638;58
941634;73
941639;43
941654;0
941642;0
941650;0
941653;0
941643;52
941636;25
941637;0
941647;0
941495;17
941480;35
941496;63
941478;82
941499;37
941501;0
941475;0
941486;81
941487;65
941482;6
941492;96
941502;0
941472;16
941474;74
941485;31
941410;0
941603;0
941426;0
941412;64
941404;135
941407;12
941405;98
941604;0
941600;0
941423;74
941421;32
941602;0
941601;94
941506;75
941507;124
941694;0
941693;0
941709;0
941706;0
941708;0
941689;0
941764;0
941762;0
941763;13
941759;0
Wyc000003;0
941758;0
941757;0
941626;0
941782;0
941805;0
941718;0
941440;68
941441;32
941433;81
941437;2
941438;68
941432;113
941439;0
941435;104
941774;0
941771;43
941772;0
941775;64
941776;0
941773;20
941808;18
941812;3
941809;27
941810;0
941813;2
941811;0
940014;20
940011;8
940012;23
940013;53
940072;56
940071;278
940052;11
940062;75
940092;10
940091;19
940061;112
940051;117
940111;0
940112;5
940121;13
940122;58
940131;111
940132;114
941034;2
941035;3
941530;45
941534;18
941467;73
941451;50
941458;26
941462;27
941536;57
941459;29
941449;55
941463;0
941468;42
941448;34
941469;1
941455;17
941447;14
941454;65
941544;103
941541;28
941452;9
941460;0
941466;36
941531;0
941446;40
941464;14
941543;103
941510;16
941013;8
941542;88
941031;31
941032;40
941033;0
941088;15
941087;0
941086;18
941085;1
941061;0
941062;0
941063;0
941021;25
941022;46
941023;41
941041;53
941042;40
941043;0
941095;31
941096;27
941051;38
941052;47
941053;1
941092;55
941071;0
941073;0
941200;0
940251;3
943018;129
943022;500
943023;399
943032;0
943034;74
943033;79
943017;5
943013;44
943026;62
943025;170
943009;0
943016;7
943010;12
943024;42
949001;0
949005;15
942621;95
942419;417
942632;0
942628;0
942409;0
942627;46
942633;145
942622;1193
942624;2065
942616;1438
942617;853
942625;228
942618;506
942619;552
942620;539
942623;359
942626;170
940055;70
940065;55
940064;20
940075;31
940094;3
940095;27
940124;218
940134;156
940312;0
940314;0
940315;3
940316;5
940317;6
940318;0
940319;0
940320;0
940321;3
940322;0
940338;10
940341;3
940342;0
940343;3
940344;6
940345;3
940346;13
940347;6
940348;7
940349;3
940350;0
940351;5
941701;11
941796;64
941814;42
941020;100
941050;88
941089;0
941090;37
941093;41
941822;35
941823;44
941824;48
941825;78
941826;48
941828;80
941827;50
941829;77
941837;123
941838;97
941839;14
941840;149
941841;87
941842;46
941843;102
941844;3
943015;20
940361;1
940362;0
940363;0
940364;26
940365;50
940366;0
940367;17
940368;0
940369;47
940370;51
940371;39
940373;0
940374;0
940375;0
940376;30
940377;39
940378;9
940379;17
940380;21
940381;37
940382;32
940383;27
940384;0
940385;0
940386;53
940387;154
940388;33
940389;175
940390;175
940391;129
940392;0
940393;32
940394;181
940395;182
940396;0
940402;5
940403;8
940404;0
940405;0
940406;32
940407;35
940408;15
940409;0
940410;22
940411;31
940420;0
940504;3
940505;0
940507;0
940509;0
940530;0
940533;0
940534;0
941450;16
941465;0
